dataset_name,context_relevance,utilization_score,completeness_score,is_adherent
covidqa,0.3267970853598125,0.9058348030570252,0.3333333333333333,0.8888888888888888
cuad,0.2222222222222222,0.9058348030570252,0.2222222222222222,1.0
delucionqa,0.9629629629629629,0.9058348030570252,0.3703703703703704,1.0
emanual,0.6666666666666666,0.9058348030570252,0.2222222222222222,1.0
expertqa,0.7821642030270084,0.9058348030570252,0.4527777777777778,0.7777777777777778
finqa,0.37037037037037035,0.9058348030570252,0.14814814814814814,1.0
hagrid,0.9222222222222223,0.9058348030570252,0.537037037037037,1.0
hotpotqa,0.8055555555555556,0.9058348030570252,0.25,1.0
msmarco,0.5070546737213404,0.9058348030570252,0.028218694885361544,1.0
pubmedqa,0.6888888888888889,0.9058348030570252,0.2222222222222222,1.0
tatqa,0.37777777777777777,0.9058348030570252,0.12037037037037036,1.0
techqa,0.6756409066357109,0.9058348030570252,0.13333333333333336,0.4444444444444444
